MOS_0001|Ambiente ideal para tomar el vermú antes de comer.|es-9,en-6,es
MOS_0002|¿No quiere añadir nada antes de que el jurado se retire?|es-49,en
MOS_0003|Es una calle comercial del casco antiguo de la ciudad.|es
MOS_0004|Pablo Flores Contreras es natural de Málaga y nació en la primavera de mil novecientos noventa y uno.|es-6,en-7,es-13,en-8,es
MOS_0005|La vi hace dos meses en el Teatro Grand, en Woolwich.|es-34,en-7,es-3,en
MOS_0006|Bella plaza e iglesia que deben visitar.|en-6,es
MOS_0007|Ya no hay plazas libres en el Parking Plaza de Olavide.|en-3,es-27,en-8,es
MOS_0008|No hay radios favoritas. Se reproducirá ciento cinco punto cero FM.|es
MOS_0009|Lo siento, no hay resultados para Hotel Sheraton que cueste menos de treinta euros.|es-34,en-15,es
MOS_0010|No se ha iniciado la radio. Por favor, active la radio primero.|es-39,en-7,es-3,en-6,es
MOS_0011|Le regalo un caramelo de felicidad, y le deseo buen humor. ¡Feliz fiesta!|es-52,en-7,es
MOS_0012|Se ha activado el control inteligente para la toma de aire del exterior interior.|es-18,en-8,es-37,en-9,es
MOS_0013|Se ha desactivado el control inteligente para la toma de aire del exterior interior.|es-21,en-8,es-37,en-9,es
MOS_0014|Para consultas generales sobre la actividad financiera en Banca Virtual, pulse tres.|es-58,en-21,es
MOS_0015|Para cualquier consulta de su Banca Virtual, marque dos.|es-30,en-15,es
MOS_0016|Como el epidemiólogo de enfermedades infecciosas Adam Kucharski nos recuerda en su oportuno libro The Rules of Contagion, publicado en febrero, la historia nos dice que las pandemias llevan a las comunidades a ser estigmatizadas, por lo que todos debemos tener más cuidado.|es-49,en-5,es-44,en-24,es-51,en-10,es
MOS_0017|Nos metemos aún más en el mundo empresarial con branding, en español muchas veces traducido como marca personal.|es-48,en-10,es
MOS_0018|El 'brainstorming es esa tormenta de ideas en realidad, de cerebros que muchas veces es la semilla de un gran proyecto.|es
MOS_0019|Realmente me gusta el soundtrack de Ennio Morricone en Cinema Paradiso.|es-22,en-11,es-9,en-10,es-3,en-7,es
MOS_0020|La Unión Europea y Londres aplazan 'sine die' la negociación 'postbrexit' por el coronavirus.|es-81,en
MOS_0021|Yahr, la crítica de 'The Washington Post', invitaba en su análisis a no pasar por alto el título completo de la serie, 'Tiger King: asesinato, violencia y locura'.|es-20,en-16,es-90,en-6,es
MOS_0022|Después de una sesión ya se nota un efecto 'flash' en la piel, pues se forman depósitos de ingredientes activos, lo que garantiza un buen aspecto de forma inmediata después del tratamiento y también una continua mejora de la piel a largo plazo.|es-120,en-10,es
MOS_0023|La modelo californiana Kathy Jacobs, de cincuenta y seis años, se ha convertido en una de las seis finalistas para protagonizar la portada de la revista 'Sports Illustrated'.|es-23,en-14,es-116,en
MOS_0024|Para terminar, la pareja tendrá acceso exclusivo al 'Private Wellness Spa' durante treinta minutos para brindar con cava y saborear de un tentempié en el 'jacuzzi'.|es-5,en-10,es-37,en-18,es-34,en-8,es
MOS_0025|Hace quince años que la citada compañía se pone a disposición de las 'celebrities' para mimar su piel antes de la gran fiesta del cine del año, donde esta vez brillarán gracias al nuevo ritual Inhibit VI-Neck de Natura Bissé, el primer programa global para cuello y escote.|es-5,en-7,es-57,en-14,es-103,en-23,es
MOS_0026|Inhibit Face and Neck-Lift: El 'lifting' de cabina definitivo para rostro, cuello y escote.|en-8,es-5,en-15,es
MOS_0027|Según la intérprete de 'Only girl', este cosmético no solo aporta volumen y alarga las pestañas, sino que levanta, define y riza las pestañas.|es-23,en-6,es-47,en-7,es-32,en-7,es
